Department,LPO NO,Check,x,NAME OF THE SUPPLIER, AMOUNT ,Date,TENDER NO.
Research,10342,10342,TRUE,Taidy's Restaurant,"120,000.00",11-Mar-2021,RBA/RFQ/CONFERENCE/613/1406/2021
Research,10343,10343,TRUE,Meru Slopes Hotel,"150,000.00",11-Mar-2021,RBA/RFQ/CONFERENCE/613/1411/2021
Research,10344,10344,TRUE,Eagle Palace Hotel Ltd,"132,000.00",11-Mar-2021,RBA/RFQ/CONFERENCE/613/1407/2021
MC,10345,10345,TRUE,Silver Palm Spa & Resort,"560,000.00",11-Mar-2021,RBA/RFQ/CONFERENCE/613/1402/2021
Research,10346,10346,TRUE,Rex Kiosk,"79,389.00",11-Apr-2021,
HCDA,10347,10347,TRUE,Reeziky Merchants,"193,632.00",11-Apr-2021,CONTRACT
HCDA,10348,10348,TRUE,Reeziky Merchants,"76,851.00",11-Apr-2021,CONTRACT
Legal,10349,10349,TRUE,Lake Naivasha Sopa Lodge,"224,000.00",11-Aug-2021,RBA/RFQ/CONFERENCE/613/1422/2021
HCDA,10350,10350,TRUE,Tonerstar Enterprises,"139,510.00",11-Aug-2021,RBA/RFQ/BRANDEDGIFTS/613/1417/2021
HCDA,10351,10351,TRUE,Technology Today,"1,644,822.00",11-Sep-2021,RBA/RFQ//TONERS/613/1415/2021
CC,10352,10352,TRUE,Kenya Literature Bureau,"395,328.00",11-Sep-2021,RBA/DP/ANNUALREPORT/613/1419/2021
MC,10353,10353,TRUE,Golden Jubilee Limited,"819,000.00",11-May-2021,RBA/RFQ/CONFERENCE/613/1420/2021
Research,10354,10354,TRUE,Golf Hotel Kakamega,"184,000.00",11-Mar-2021,RBA/DP/CONFERENCE/613/1412/2021
MC,10355,10355,TRUE,Eagle Palace Hotel Ltd,"264,000.00",11-Oct-2021,RBA/RFQ/CONFERENCE/613/1429/2021
MC,10356,10356,TRUE,Eagle Palace Hotel Ltd,"66,000.00",11-Oct-2021,RBA/RFQ/CONFERENCE/613/1401/2021
MC,10357,10357,TRUE,Roswam Hotel,"104,000.00",11-Nov-2021,RBA/RFQ/CONFERENCE/613/1428/2021
HCDA,10358,10358,TRUE,Koba Waters Limited,"68,700.00",11-Dec-2021,CONTRACT
HCDA,10359,10359,TRUE,Postal Corporation of Kenya,"58,000.00",11-Dec-2021,CONTRACT
HCDA,10360,10360,TRUE,Jimcab Services Limited,"455,482.12",11-Dec-2021,CONTRACT
MC,10361,10361,TRUE,Leisure Lodge Ltd,"150,000.00",11-Oct-2021,RBA/RFQ/CONFERENCE/613/1430/2021
,Missing,10362,FALSE,,,0-Jan-1900,
,Missing,10363,FALSE,,,0-Jan-1900,
Research,10364,10364,TRUE,The Vic Hotel,"192,500.00",15-Nov-2021,RBA/RFQ/CONFEENCE/613/1425/2021
Research,10365,10365,TRUE,Boma Inn Eldoret,"175,000.00",17-Nov-2021,RBA/RFQ/CONFERENCE/613/1424/2021
ICT,10366,10366,TRUE,Gelian Hotel,"157,500.00",11-Oct-2021,RBA/RFQ/CONFACC/613/1432/2021
Research,10367,10367,TRUE,The White Rhino Hotel,"195,000.00",15-Nov-2021,RBA/RFQ/CONFERENCE/613/1410/2021
MC,10368,10368,TRUE,Allens Hotel,"66,000.00",15-Nov-2021,RBA/RFQ/CONFERENCE/613/13108/2021
MC,10369,10369,TRUE,Ceamo Prestige Lodge Ltd,"140,000.00",15-Nov-2021,RBA/RFQ/CONFERENCE/613/1431/2021
,Missing,10370,FALSE,,,0-Jan-1900,
HCDA,10371,10371,TRUE,Lavington Security Limited,"168,000.03",22-Nov-2021,CONTRACT
HCDA,10372,10372,TRUE,Kipevu Restaurant Ltd,"246,797.00",22-Nov-2021,CONTRACT
HCDA,10373,10373,TRUE,Clovers Management Training ,"216,737.20",22-Nov-2021,CONTRACT
,Missing,10374,FALSE,,,0-Jan-1900,
,Missing,10375,FALSE,,,0-Jan-1900,
HCDA,10376,10376,TRUE,Tamarind Management Ltd,"2,929,000.00",23-Nov-2021,RBA/RFQ/EOYVENUE/613/1435/2021
Research,10377,10377,TRUE,The Vic Hotel,"165,000.00",20-Nov-2021,RBA/RFQ/CONFERENCE/613/1405/2021
Research,10378,10378,TRUE,Eagle Palace Hotel Ltd,"154,000.00",23-Nov-2021,RBA/RFQ/CONFERENCE/613/1426/2021
Research,10379,10379,TRUE,The Alba Hotel Ltd,"192,000.00",23-Nov-2021,RBA/RFQ/CONFERENCE/613/1427/2021
Supervision,10380,10380,TRUE,Lake Naivasha Resort,"192,000.00",23-Nov-2021,RBA/RFQ/CONFERENCE/613/1423/2021
HCDA,10381,10381,TRUE,Enashipai Resort & Spa,"31,000.00",26-Nov-2021,RBA/LVP/ACCOMOODATION/613/25/11/2021
MC,10382,10382,TRUE,Eka Hotels Limited,"84,000.00",27-Oct-2021,RBA/RFQ/CONFERENCE/613/1400/2021
,Missing,10383,FALSE,,,0-Jan-1900,
ICT,10384,10384,TRUE,Specicom Technologies Limited,"5,699,184.00",26-Nov-2021,RBA/OT/LAPTOPS/613/13106/2021
HCDA,10385,10385,TRUE,Vinstar Expess Supplies Limited,"145,500.00",12-Feb-2021,CONTRACT
HCDA,10386,10386,TRUE,PTG Travel Limited,"60,965.42",12-Feb-2021,CONTRACT
HCDA,10387,10387,TRUE,Yamilor Limited,"299,275.00",12-Feb-2021,CONTRACT
HCDA,10388,10388,TRUE,Jimcab Services Limited,"365,857.04",12-Feb-2021,CONTRACT
,Missing,10389,FALSE,,,0-Jan-1900,
,Missing,10390,FALSE,,,0-Jan-1900,
,Missing,10391,FALSE,,,0-Jan-1900,
,Missing,10392,FALSE,,,0-Jan-1900,
,Missing,10393,FALSE,,,0-Jan-1900,
,Missing,10394,FALSE,,,0-Jan-1900,
CC,10395,10395,TRUE,Jim Africa Exhibitions Ltd,"2,887,250.00",12-Jun-2021,RBA/RFQ/EVENTMAGT/613/1436/2021
CC,10396,10396,TRUE,Nation Media Group,"1,650,000.00",12-Oct-2021,RBA/RT/LIVECOVERAGE/613/1444/2021
